公司名称,证券代码,占基金资产净值比例(%)
泡泡玛特国际集团有限公司,9992,9.605698
腾讯控股有限公司,700,8.343829
富途控股有限公司,FUTU,8.084656
"紫金矿业集团股份有限公司","2899,601899",5.084724
巨子生物控股有限公司,2367,4.984839
上海复宏汉霖生物技术股份有限公司,2696,4.962590
浪潮数字企业技术有限公司,596,4.565158
山东黄金矿业股份有限公司,1787,3.979842
映恩生物,9606,3.902701
三生制药,1530,3.713809
歌礼制药有限公司,1672,3.550568
网易云音乐股份有限公司,9899,3.123690
古茗控股有限公司,1364,2.986200
灵宝黄金集团股份有限公司,3330,2.350353
联邦制药国际控股有限公司,3933,2.341866
布鲁可集团有限公司,325,2.135062
Hello Group Inc.,MOMO,1.899151
阿里巴巴集团控股有限公司,9988,1.710526
Hesai Group,HSAI,1.510423
领展房地产投资信托基金,823,1.305482
中国宏桥集团有限公司,1378,0.959635
固生堂控股有限公司,2273,0.875037
丘钛科技(集团)有限公司,1478,0.827547
上海康耐特光学科技集团股份有限公司,2276,0.778401
康哲药业控股有限公司,867,0.747775
"Coinbase Global, Inc.",COIN,0.674815
大麦娱乐控股有限公司,1060,0.598219
越秀服务集团有限公司,6626,0.596180
招金矿业股份有限公司,1818,0.533900
老铺黄金股份有限公司,6181,0.521340
西锐飞机有限公司,2507,0.415481
携程集团有限公司,9961,0.255734
潼关黄金集团有限公司,340,0.158306
朝聚眼科医疗控股有限公司,2219,0.104160
Adobe Inc.,ADBE,0.094622
百融云创,6608,0.094096
安东油田服务集团,3337,0.083586
Deckers Outdoor Corporation,DECK,0.072651
泉峰控股有限公司,2285,0.065847
万国黄金集团有限公司,3939,0.062515
"Tesla, Inc.",TSLA,0.062154
理想汽车,LI,0.050183
好孩子国际控股有限公司,1086,0.041482
深圳市新产业生物医学工程股份有限公司,300832,0.037965
浙江三花智能控制股份有限公司,2050,0.032911
美高梅中国控股有限公司,2282,0.030820
中海物业集团有限公司,2669,0.029026
京东健康股份有限公司,6618,0.023178
兖矿能源集团股份有限公司,1171,0.022777
NVIDIA Corporation,NVDA,0.018547
北京昭衍新药研究中心股份有限公司,6127,0.017349
珍酒李渡集团有限公司,6979,0.011458
新华文轩出版传媒股份有限公司,811,0.010637
蜜雪冰城股份有限公司,2097,0.009609
波司登国际控股有限公司,3998,0.008674
IFBH Limited,6603,0.006400
呈和科技股份有限公司,688625,0.004570
RLX Technology Inc.,RLX,0.002732
瑞声科技控股有限公司,2018,0.002536
思看科技(杭州)股份有限公司,688583,0.001236
苏州赛分科技股份有限公司,688758,0.000901
包头天和磁材科技股份有限公司,603072,0.000841
中通快递(开曼)有限公司,ZTO,0.000643
STAAR Surgical Company,STAA,0.000591
苏州贝克微电子股份有限公司,2149,0.000368
DouYu International Holdings Limited,DOYU,0.000317
"Wolfspeed, Inc.",WOLF,0.000012